File Name,Heuristic,Weighted,Nodes Expanded,Moves Required,Solution Cost,Estimated Branching Factor,Search Time
board5.csv,Greedy,False,6,5,60,1.8171205928321397,0.0013701999851036817
board6.csv,Sliding,True,3,3,18,1.7320508075688772,0.0007587000145576894
board6.csv,Sliding,False,3,3,18,1.7320508075688772,0.0007983999967109412
board6.csv,Greedy,True,3,3,18,1.7320508075688772,0.0008249000238720328
board6.csv,Greedy,False,3,3,18,1.7320508075688772,0.002074600022751838
board7.csv,Sliding,True,4,4,46,2.0,0.001621699979295954
board7.csv,Sliding,False,4,4,46,2.0,0.0017656999989412725
board7.csv,Greedy,True,4,4,46,2.0,0.0014611000078730285
board7.csv,Greedy,False,4,4,46,2.0,0.00396179998642765
board8.csv,Sliding,True,5,5,17,1.7099759466766968,0.0015568000089842826
board8.csv,Sliding,False,5,5,17,1.7099759466766968,0.0017279000021517277
board8.csv,Greedy,True,5,5,17,1.7099759466766968,0.0015019999991636723
board8.csv,Greedy,False,5,5,17,1.7099759466766968,0.001396900013787672
board9.csv,Sliding,True,4,4,16,2.0,0.0012128000089433044
board9.csv,Sliding,False,4,4,16,2.0,0.001389399985782802
board9.csv,Greedy,True,4,4,16,2.0,0.0009188999829348177
board9.csv,Greedy,False,4,4,16,2.0,0.0008925000147428364
